"","x"
"deltaEEL",97.2377302818278
"deltaShortEEL",96.5991494743443
"deltaTrout",84.6127940075132
"deltaBully",86.9629976540753
"deltaInanga",99.8014866363701
"deltaTorrent",88.0442738042963
"deltaKokopu",97.7479171985908
"deltaComBully",94.5094886265428
"deltaTroutFry",89.7431303564914
"deltaTroutSpawn",85.0734169353805
"deltaUplandBully",98.3416049940291
