,SITE,LOC,nzreach,CATCHAREA,GaugeNumber,LargestLakeInletNZREACH
1909,1909,Peria at Honeymoon Valley -Rat,1004153,29279700,1909,NA
19716,19716,Waipaoa at Kanakanaia C/W -Riv,5010343,1566478208,19716,NA
19734,19734,Waikohu at No 1 Br -River leve,5009160,26521044,19734,NA
19778,19778,Gentle Annie at Weir -River le,5013108,3473100,19778,NA
19779,19779,McPhails Stm at Waingake Rd -R,5013465,4181400,19779,NA
19780,19780,Pouarua at Weir -River level,5012212,21465900,19780,NA
2,2,Mangaone Stream at Ratanui,9002333,9200000,2,NA
20,20,Waiwhetu Stream at Whites Line East,9012664,11600000,20,NA
2043418,2043418,Purukohukohu at Purutakaiti -R,3035848,722700,2043418,NA
20901,20901,Nuhaka at Nuhaka Valley Rd -R*,8013285,100425864,20901,NA
21,21,Wainuiomata River at Manuka Track,9013597,27100000,21,NA
21401,21401,Wairoa at Marumaru -Ratings,8008140,1797060992,21401,NA
21409,21409,Waiau at Otoi -Ratings,8009552,532628960,21409,NA
21410,21410,Waihi at Waihi -Ratings,8007063,50102100,21410,NA
21601,21601,Tahekenui at Glenstrae -River,8013808,22079700,21601,NA
21801,21801,Mohaka at Raupunga -River leve,8014348,2363425024,21801,NA
21803,21803,Mohaka at Glenfalls -River lev,8017355,1034210368,21803,NA
21812,21812,Mohaka at Willowflat -River le,8011586,2210776832,21812,NA
22,22,Wainuiomata River at Leonard Wood Park,9014214,77500000,22,NA
22802,22802,Esk at Waipunga Br -River leve,8021730,252408672,22802,NA
23,23,Orongorongo River at Upper Dam Site,9013501,7100000,23,NA
23001,23001,Tutaekuri at Puketapu -River l,8023736,786481600,23001,NA
23005,23005,Ngahere at Ngahere Weir -River,8019606,1009800,23005,NA
23008,23008,Ngahere at Sub-basin G/W -Rive,8019606,1009800,23008,NA
23102,23102,Ngaruroro at Fernhill -River l,8024783,1940581632,23102,NA
23103,23103,Ngaruroro at Whanawhana -River,8024064,1107274112,23103,NA
23104,23104,Ngaruroro at Kuripapango -Rive,8021350,385039616,23104,NA
23106,23106,Taruarau at Taihape Rd -River,8022300,262061072,23106,NA
23109,23109,Kaumatua at Faultline -River l,8025848,1818000,23109,NA
23150,23150,Ngaruroro at Chesterhope Br -R,8024658,2004308608,23150,NA
23201,23201,Tukituki at Red Br -Ratings,8026822,2457221632,23201,NA
23209,23209,Otane at Glendon -Ratings,8029479,23446800,23209,NA
23210,23210,Omakere at Fordale -Ratings,8031682,53103600,23210,NA
23218,23218,Makaroro at Burnt Br -Ratings,8028042,121230400,23218,NA
23701,23701,Pouhokio at Allens Br -River l,8028937,33391800,23701,NA
24,24,Orongorongo River at Truss Bridge,9014526,31700000,24,NA
25,25,Ruamahanga River at Mt Bruce,9000870,76500000,25,NA
25902,25902,Whareama at Waiteko -River lev,9006652,399657344,25902,NA
26,26,Ruamahanga River at Wardells,9007511,6.37E+08,26,NA
26502,26502,Kaiwhata at Stansborough -Rive,9012376,83822400,26502,NA
27303,27303,Pahaoa at Hinakura -River leve,9014825,563374080,27303,NA
28,28,Ruamahanga River at Waihenga Bridge,9012311,2.34E+09,28,NA
29,29,Waipoua River at Mikimiki Bridge,9003286,80500000,29,NA
29244,29244,Whangaehu at Waihi -River leve,9002949,37148712,29244,NA
29250,29250,Ruakokoputuna at Iraia -River,9016437,15645600,29250,NA
29259,29259,Pakaraka at Te Whiti -River le,9007346,268200,29259,NA
29808,29808,Hutt at Kaitoke -River level,9008427,86864400,29808,NA
29818,29818,Hutt at Birchville -River leve,9009572,426143552,29818,NA
29819,29819,Taita at Exotic -River level,9011554,348300,29819,NA
29835,29835,Taita at No 4 -River level,9011759,238500,29835,NA
3,3,Waikanae River at Water Treatment Plant,9004315,1.25E+08,3,NA
30,30,Te Mara Stream at Kiriwhakapapa,9002232,13400000,30,NA
3043407,3043407,Naike at Kaawa School Rd -Rat*,3012520,30108600,3043407,NA
3043448,3043448,Mangaotama at Waterfall -Rati*,3017718,2447100,3043448,NA
3043449,3043449,Kiripaka at Crump Weir -Rating,3017580,2904300,3043449,NA
3043451,3043451,Whakakai at Waterfall -Ratings,3017533,3093300,3043451,NA
3043459,3043459,Pukemanga at Weir -Ratings,3017694,1782000,3043459,NA
3043460,3043460,Pukemanga at Flume -River leve,3017694,1782000,3043460,NA
3043481,3043481,Waihi Stm at SH41 -River level,3047995,9841020,3043481,NA
30501,30501,Makara at No 1 -Ratings,9013000,366300,30501,NA
30504,30504,Makara at No 4 -Ratings,9012999,1350000,30504,NA
30507,30507,Makara at No 7 -River level,9013518,244800,30507,NA
30508,30508,Makara at No 8 -River level,9013518,244800,30508,NA
30510,30510,Makara at No 10 -River level,9012806,324000,30510,NA
30511,30511,Makara at No 11 -River level,9012806,324000,30511,NA
30516,30516,Mill Ck at Papanui -River leve,9011103,8896500,30516,NA
30802,30802,Pauatahanui at Gorge -River le,9010034,38521800,30802,NA
30902,30902,Horokiwi at Grenlo -River leve,9009035,29183400,30902,NA
31,31,Waingawa River at Kaituna,9004463,7.90E+07,31,NA
31503,31503,Waikanae at Akatarawa Rd Br -R,9004581,65612700,31503,NA
31803,31803,Otaki at Tuapaka -River level,9002154,308572896,31803,NA
31805,31805,Waiotauru at Swing Br -River l,9003744,78899392,31805,NA
31807,31807,Otaki at Pukehinau -River leve,9002382,305995328,31807,NA
32,32,Mangatarere Stream at Gorge,9005786,33300000,32,NA
32105,32105,Ohau at Water Race -River leve,7047444,102985008,32105,NA
32106,32106,Ohau at Rongomatane -River lev,7047475,104991104,32106,NA
32528,32528,Mangahao at D/S Dam No2 -River,7045909,82094640,32528,NA
32602,32602,Puke Puke at Lake Outlet -Rat*,7038757,91608336,32602,NA
32702,32702,Rangitikei at Mangaweka -Ratin,7027408,2678085376,32702,NA
32705,32705,Rangitikei at Otara -Ratings,7028864,2760342016,32705,NA
32708,32708,Rangitikei at Springvale -Rive,7019059,521490880,32708,NA
32715,32715,Porewa at Tututotara -River l*,7032286,110879072,32715,NA
32726,32726,Hautapu at Taihape -River leve,7024023,286584544,32726,NA
32732,32732,Moawhango at Waiouru -River l*,7017320,279736288,32732,NA
32734,32734,Mangaio at Waiouru -River leve,7014836,15040493,32734,NA
32735,32735,Rangitawa at Halcombe -River l,7034425,64174500,32735,NA
32747,32747,Forest Rd Drain at Drop Struct,7037046,4451400,32747,NA
32754,32754,Makohine at Viaduct -River lev,7028844,97118112,32754,NA
32767,32767,Hautapu at Alabaster's -River,7023817,278182176,32767,NA
33003,33003,Turakina at SH3 Br -River leve,7032284,847790656,33003,NA
33004,33004,Turakina at Otairi -River leve,7028301,509379488,33004,NA
33101,33101,Whangaehu at Kauangaroa -River,7030062,1892461824,33101,NA
33102,33102,Whangaehu at Mangamahu -River,7027412,858254464,33102,NA
33107,33107,Whangaehu at Karioi -River lev,7019389,481146688,33107,NA
33111,33111,Mangawhero at Ore Ore -River l,7021034,510754112,33111,NA
33112,33112,Tokiahuru at Whangaehu Junctio,7019252,221265056,33112,NA
33114,33114,Waitangi at Tangiwai -River l*,7018804,58455000,33114,NA
33115,33115,Mangaetoroa at School -River l,7017737,33650100,33115,NA
33116,33116,Wahianoa at Karioi -River lev*,7016569,14652000,33116,NA
33117,33117,Makotuku at SH49A Br -River le,7015868,24618600,33117,NA
33301,33301,Whanganui at Paetawa -Ratings,7026243,6606213632,33301,NA
33307,33307,Whanganui at Headwaters -Ratin,7007626,81866672,33307,NA
33309,33309,Manganui-o-te-ao at Ashworth *,7014300,338397376,33309,NA
33311,33311,Tangarakau at Tangarakau -Rati,7007554,239720592,33311,NA
33312,33312,Retaruke at Kawautahi -Ratings,7008777,253680320,33312,NA
33313,33313,Ohura at Tokorima -Ratings,7005708,669699328,33313,NA
33316,33316,Ongarue R. at Taringamotu,7004838,1083953152,33316,NA
33324,33324,Mangatepopo at Ketetahi -Ratin,7008779,27929040,33324,NA
33338,33338,Whanganui at Matapuna -Ratings,7005142,943784960,33338,NA
33341,33341,Mangaroa at Ohura Town Br -Ra*,7004287,181777248,33341,NA
33347,33347,Whanganui R. at Te Porere,7008385,27188032,33347,NA
33356,33356,Whanganui at Piriaka -Ratings,7005515,797261888,33356,NA
33387,33387,Tawhitikuri at Intake -River l,7008558,5790600,33387,NA
33388,33388,Mangatepopo at Intake -River l,7008526,31341842,33388,NA
33389,33389,Tauwera at Intake -River level,7008548,3691800,33389,NA
33390,33390,Okupata at Intake -River level,7008546,12033000,33390,NA
33502,33502,Kai Iwi at Handley Rd -River l,6016797,190848112,33502,NA
3419,3419,Waipapa at Intake 6 -Ratings,1005752,20565900,3419,NA
34202,34202,Whenuakura at Nicholson Rd -Ri,6015689,444883520,34202,NA
34305,34305,Patea at McColls -River level,6013787,937613376,34305,NA
34307,34307,Patea at Mangamingi -River lev,6009842,757377472,34307,NA
35,35,Waiohine River at Gorge,9007699,1.80E+08,35,NA
3501,3501,Kerikeri at Aishes -Ratings,1005995,28259100,3501,NA
3506,3506,Maungaparerua at Tyrees Ford -,1006650,11709000,3506,NA
3518,3518,Waiwhakangarongaro at Baxters,1007209,2423700,3518,NA
3525,3525,Waitangi Wetlands at Site 4 -R,1007143,1446300,3525,NA
36,36,Tauherenikau River at Gorge,9008990,1.12E+08,36,NA
36001,36001,Punehu at Pihama -Ratings,6010817,28889100,36001,NA
36003,36003,Mangatawa at McKays -Ratings,6011123,10584000,36003,NA
36015,36015,Mangatawa at Pihama -Ratings,6011123,10584000,36015,NA
37,37,Kopuaranga River at Palmers,9002572,1.00E+08,37,NA
3710,3710,Whangai at Wiroa Rd -Ratings,1007500,2772900,3710,NA
37101,37101,Okahu at Ngariki Rd -Ratings,6007765,12635100,37101,NA
3722,3722,Waitangi at Wakelins -Ratings,1007625,300543232,3722,NA
37503,37503,Kapoaiaia at Lighthouse -Ratin,6006693,19262178,37503,NA
38001,38001,Stony at Okato -Ratings,6005017,46351800,38001,NA
3806,3806,Kawakawa at SHBr -Ratings,1009782,309530912,3806,NA
38401,38401,Timaru at SH45 -Ratings,6004239,27131400,38401,NA
38501,38501,Oakura at Surrey Hill Rd -Rati,6003833,38153700,38501,NA
39201,39201,Waiwhakaiho at SH3 (Egmont Vil,6003978,60530400,39201,NA
39401,39401,Waiongona at Waitara Intake -R,6003219,43682400,39401,NA
39501,39501,Waitara at Tarata -Ratings,6004432,703606208,39501,NA
39504,39504,Manganui at Tariki Rd -River l,6005570,81241200,39504,NA
39506,39506,Motukawa at Tail Race -Ratings,6004999,606600,39506,NA
39508,39508,Manganui at SH3- river level,6006892,13660200,39508,NA
39509,39509,Ngatoro at Bedford Rd -River l,6004989,7868700,39509,NA
39597,39597,Waitara at Purangi Br -River l,6004532,464652576,39597,NA
39801,39801,Onaero at Mataro Rd -River lev,6002219,76126496,39801,NA
4,4,Mazengarb Stream at Scaife Drive,9004419,4500000,4,NA
40,40,Tauweru River at Te Whiti,9009016,0,40,NA
40703,40703,Mangakowhai at Kaingapipi -Ri*,3034677,15466500,40703,NA
40708,40708,Mokau at Totoro Br -River leve,3039792,1054481600,40708,NA
40810,40810,Awakino at Gorge -River level,3041502,227412960,40810,NA
41301,41301,Marokopa at Falls -River level,3028857,92931280,41301,NA
41302,41302,Tawarau at Te Anga -River leve,3029281,120746672,41302,NA
41601,41601,Oteke at Kinohaku -River level,3026287,8759700,41601,NA
42,42,Otukura Stream at Weir,9011962,36200000,42,NA
42505,42505,Waitetuna at SH23 -River level,3018754,86208304,42505,NA
42514,42514,Waitetuna at Te Uku Landing -R,3018315,124436704,42514,NA
42515,42515,Waitetuna at School -River lev,3019007,64451700,42515,NA
42516,42516,Waitetuna at Dairy -River leve,3019358,58679100,42516,NA
42517,42517,Waitetuna at Aramiro -River le,3020052,33043500,42517,NA
42518,42518,Mangakino at Mangakino Rd -Riv,3018742,11759400,42518,NA
43,43,Papawai Stream at U/S Oxi Pond,9009840,0,43,NA
43411,43411,Pokaiwhenua at Forest Products,3028181,60927300,43411,NA
43602,43602,Waitangi at SHBr -Ratings,2009679,18232250,43602,NA
43809,43809,Puhinui at Nescafe -Ratings,2007219,17787710,43809,NA
44,44,Tilsons Creek at Scott Culvert,9009519,0,44,NA
45,45,Parkvale Stream at Renalls Weir,9009215,0,45,NA
45309,45309,Kaipara at Davidsons -River le,2004667,193179008,45309,NA
45346,45346,Waikoukou at Longlands -River,2004400,4921211,45346,NA
45347,45347,Wharauroa at Moffats -River le,2004581,7567042,45347,NA
45501,45501,Makarau at Dosing Strip -River,2002895,50712272,45501,NA
45504,45504,Makarau at Coles -River level,2002939,49163232,45504,NA
45702,45702,Waiwhiu at Dome Shadow -River,2001422,8475426,45702,NA
45903,45903,Topuni at Old North Rd -River,1026468,513000,45903,NA
46609,46609,Mangere at Kara Weir -River le,1018174,12298500,46609,NA
46612,46612,Kaihu at Maropiu -River level,1019880,160788640,46612,NA
46618,46618,Mangakahia at Gorge -River lev,1015928,244237488,46618,NA
46639,46639,Wairau at Lewis Bridge,1016226,528177184,46639,NA
46645,46645,Kokopu at McBeths -River level,1018483,2810700,46645,NA
46648,46648,Wairua at Wairua Falls -Rating,1018572,707566208,46648,NA
46662,46662,Pukewaenga at Conservation -Ra,1017153,446400,46662,NA
46663,46663,Pukeiti at Riddolls -Ratings,1017153,446400,46663,NA
47527,47527,Opahi at Pond -Ratings,1010331,10773900,47527,NA
47706,47706,Parakataio at Te Pua Rd -Rati*,1009215,3681000,47706,NA
47804,47804,Waipapa at Forest Ranger -Rati,1007423,121107600,47804,NA
48015,48015,Mangamuka at Gorge -Ratings,1005874,22582800,48015,NA
5,5,Wharemauku Stream at Coastlands,9004964,7800000,5,NA
52003,52003,Aorere at Devils Boots -Rating,10001004,247646288,52003,NA
52902,52902,Takaka at Harwoods -Ratings,10005729,259072448,52902,NA
52916,52916,Cobb at Trilobite -River level,10007669,46554444,52916,NA
5513,5513,Glenbervie at Quarry -Ratings,1016577,1917900,5513,NA
5515,5515,Glenbervie at Pines -Ratings,1016577,1917900,5515,NA
5516,5516,Glenbervie at Log Br -Ratings,1016577,1917900,5516,NA
5519,5519,Waiarohia at Russell Rd -Ratin,1018237,17369100,5519,NA
56903,56903,Riwaka at Littles -River level,10005858,8290498,56903,NA
57006,57006,Wangapeka at Swingbridge -Rive,10015667,339919200,57006,NA
57009,57009,Motueka at Woodstock -River le,10010534,1757360128,57009,NA
57014,57014,Stanley Brook at Barkers -Rive,10012290,81451552,57014,NA
57016,57016,Long Gully at Meads Rd -River,10019912,2840340.25,57016,NA
57020,57020,Roughns at Weir -River level,10021499,3612600,57020,NA
57021,57021,Graham Ck at Weir -River level,10023036,4005462.75,57021,NA
57022,57022,Hunters at Weir -River level,10023488,5152616,57022,NA
57023,57023,Kikiwa at Weir -River level,10022825,3132962.5,57023,NA
57026,57026,Rocky at Old Kiln -River level,10008203,11203841,57026,NA
57201,57201,Tasman at Hortons Rd -River le,10009235,8861112,57201,NA
57401,57401,Moutere at Catchment 1 -River,10013369,2254254.75,57401,NA
57402,57402,Moutere at Catchment 2 -Rating,10013470,1119891.75,57402,NA
57403,57403,Moutere at Catchment 3 -Rating,10013698,304360.84,57403,NA
57404,57404,Moutere at Catchment 4 -Rating,10013698,304360.84,57404,NA
57405,57405,Moutere at Catchment 5 -Rating,10013698,304360.84,57405,NA
57406,57406,Moutere at Catchment 6 -Rating,10013687,282018.03,57406,NA
57413,57413,Moutere at Catchment 13 -Ratin,10013368,397394.09,57413,NA
57414,57414,Moutere at Catchment 14 -Ratin,10013226,3084624.5,57414,NA
57415,57415,Moutere at Catchment 15 -Ratin,10013401,393858.44,57415,NA
57416,57416,Redwoods Valley at Flume -Rati,10012085,3592661.5,57416,NA
57502,57502,Wairoa at Gorge -Ratings,10014645,456355776,57502,NA
57503,57503,Roding at Weir -Ratings,10013716,40452968,57503,NA
57504,57504,Wai-iti at Brightwater -Rating,10013876,285909184,57504,NA
57505,57505,Sth Pigeon Trib at Bradleys Rd,10014307,1495832.75,57505,NA
57506,57506,Nth Pigeon Trib at Sharpes Rd,10013724,1241031.5,57506,NA
57508,57508,Moutere at Catchment 8 -Rating,10013628,1349083.38,57508,NA
57509,57509,Moutere at Catchment 9 -Rating,10013628,1349083.38,57509,NA
57510,57510,Moutere at Catchment 10 -Ratin,10013875,3309067.5,57510,NA
57512,57512,Moutere at Catchment 12 -Ratin,10013837,1704853.5,57512,NA
57521,57521,Wairoa at Irvines -Ratings,10015053,454343808,57521,NA
57802,57802,Maitai at Smiths Ford -Ratings,10011616,38012088,57802,NA
57804,57804,Maitai at South Branch -River,10012015,16780458,57804,NA
58301,58301,Collins at Drop Structure -Riv,10008409,17753814,58301,NA
58902,58902,Pelorus at Bryants -River leve,11012028,377673792,58902,NA
58903,58903,Rai at Rai Falls -River level,11011511,209031584,58903,NA
59003,59003,Kaituna at Okaramio -River lev,11015193,17786274,59003,NA
5911,5911,Waiwarawara at Wilsons Dam -Ra,1022079,4482000,5911,NA
59201,59201,Kenepuru at Kenepuru Head -Riv,11008672,29801378,59201,NA
6004,6004,Ahuroa at Rowntrees -Ratings,1023752,59151600,6004,NA
60108,60108,Wairau at Tuamarina -River lev,11016543,3416186368,60108,NA
60109,60109,Wairau at Barnetts Bank- river,11016543,3416186368,60109,NA
60114,60114,Wairau at Dip Flat -Ratings,11029639,518043200,60114,NA
60116,60116,Wairau at Hells Gate -Ratings,11032430,188835760,60116,NA
60120,60120,Branch at Weir Intake -Ratings,11024066,551618176,60120,NA
60129,60129,Waihopai at olive grove rating,11022016,738552832,60129,NA
60131,60131,Branch at bull flat ratings,11024066,551618176,60131,NA
60202,60202,Awatere at Jordon -Ratings,11027442,1064870016,60202,NA
62103,62103,Acheron at Clarence -River lev,13008668,972924288,62103,NA
62104,62104,The Ribble at Airstrip -Rating,13009131,21122100,62104,NA
62105,62105,Clarence at Jollies -Ratings,13010715,439773408,62105,NA
62106,62106,Clarence at Glen Alton -Rating,13002228,3143257344,62106,NA
63101,63101,Middle Ck at No 1 SHB -Ratings,13008570,25238700,63101,NA
63501,63501,Rosy Morn at Weir -Ratings,13010740,1810930.62,63501,NA
64301,64301,Conway at Hundalee -Ratings,13014826,465365376,64301,NA
64601,64601,Waiau at Leslie Hills -Ratings,13016907,2078651520,64601,NA
64602,64602,Waiau at Marble Point -Ratings,13015625,2027466240,64602,NA
64606,64606,Waiau at Malings Pass -Ratings,13004591,73628104,64606,NA
64609,64609,Waiau at Mouth -River level,13020035,3328196352,64609,NA
64610,64610,Stanton at Cheddar Valley -Rat,13015628,40586400,64610,NA
65104,65104,Hurunui at Mandamus -Ratings,13020391,1059311040,65104,NA
65105,65105,Hurunui at Jollie Brook -River,13020709,479509248,65105,NA
65108,65108,Hurunui Sth Branch at No 2 Hut,13017914,177486224,65108,NA
65109,65109,S Branch Hurunui at Esk Head -,13021694,304986560,65109,NA
65110,65110,Pahau at Grampians -River leve,13019016,107510416,65110,NA
65901,65901,Waipara at White Gorge -River,13029804,367464512,65901,NA
65904,65904,Waipara at Teviotdale -River l,13031694,716424384,65904,NA
6602,6602,Glen Eden at Hitchings Farm -R,2001552,15304755,6602,NA
66204,66204,Ashley at Gorge -River level,13036019,469387840,66204,NA
66207,66207,Stony Ck at Forbes Rd -River l,13036174,6281100,66207,NA
66208,66208,Stony Ck Sth at Sawbench Rd -R,13035884,2666700,66208,NA
66209,66209,Stony Ck Nth at Stony Ck Rd -R,13035804,2042100,66209,NA
66210,66210,Ashley at Lees Valley -River l,13031330,120446128,66210,NA
66213,66213,Okuku at Fox Ck -River level,13032917,220865344,66213,NA
66214,66214,Ashley at Rangiora Traffic Br,13037840,1125125120,66214,NA
66216,66216,Taranaki Ck at Gressons Rd Cul,13038550,8712900,66216,NA
66401,66401,Waimakariri at Old Highway Bge,13041967,3104887552,66401,NA
66405,66405,Camp Stream at Craigieburn -Ra,13032706,1134000,66405,NA
66407,66407,Southbrook Spring at Schluters,13038816,6167700,66407,NA
66412,66412,Kowai West Branch at Benmore -,13039169,20343600,66412,NA
66413,66413,Kowai at SH73 -Ratings,13039091,34825500,66413,NA
66414,66414,Greigs Drain at Taylors Rd Cul,13042375,1677600,66414,NA
66415,66415,Silverstream at Harpers Rd Cul,13042654,5572800,66415,NA
66417,66417,Cust Main Drain at Threlkelds,13040476,200732352,66417,NA
66419,66419,Bealey at Arthurs Pass -Rating,13025450,15957000,66419,NA
66425,66425,Styx at Radcliffe Rd -Ratings,13044123,18933300,66425,NA
66435,66435,Ohoka Spring at Dalleys Weir -,13040813,51589800,66435,NA
66602,66602,Avon at Gloucester St Br -Rati,13046232,119489376,66602,NA
66604,66604,Hoon Hay Stm at Hoon Hay Weir,13048670,3454200,66604,NA
66629,66629,Sumner Drain at Wiggins St -Ra,13047886,684000,66629,NA
66632,66632,Okeover at Clyde Rd -River lev,13046031,78610504,66632,NA
66901,66901,Pigeon Bay Stream at Fish Trap,13051411,26734890,66901,NA
67001,67001,Opara (Okains) at Friesian Stu,13052190,21768300,67001,NA
67402,67402,Aylmers Stream at Upstream Cou,13056360,2394900,67402,NA
67408,67408,French Farm at French Farm Val,13054535,6651900,67408,NA
67601,67601,Reynolds at Brankins Br -Ratin,13055031,3654000,67601,NA
67602,67602,Huka Huka at lathams Bridge-ra,13053220,11059200,67602,NA
67702,67702,Kaituna at Kaituna Valley Rd -,13053639,39886200,67702,NA
