Date,WT
8/03/2004 0:00,-48.9
1/09/2004 0:00,-54
4/11/2004 0:00,-57.48
4/11/2004 13:00,-57.48
15/01/2005 0:00,-53.5
1/09/2007 0:00,-51
23/03/2008 0:00,-60
7/04/2008 0:00,-59
21/04/2008 0:00,-57.5
28/04/2008 0:00,-57
5/05/2008 0:00,-57
12/05/2008 0:00,-56.5
19/05/2008 0:00,-56.5
14/04/2011 0:00,-58
11/07/2011 0:00,-53.77
13/07/2011 0:00,-54.09
18/07/2011 0:00,-54.18
19/09/2011 0:00,-57.68
27/08/2015,-64.3
