Section,Lon,Lat,NZE,NZN
North Island,174.789,-36.325,2671164.198,6540415.414
North Island,174.756,-36.335,2668178.744,6539366.983
North Island,174.771,-36.338,2669518.435,6539006.509
North Island,174.817,-36.364,2673586.858,6536035.821
North Island,174.82001,-36.389,2673798.416,6533256.419
North Island,174.74899,-36.4,2667402.593,6532168.071
North Island,174.713,-36.393,2664189.99,6533009.857
North Island,174.76401,-36.446,2668645.078,6527036.835
North Island,174.737,-36.47,2666169.983,6524423.353
North Island,174.701,-36.428,2663036.419,6529148.001
North Island,174.69901,-36.44,2662831.574,6527820.122
North Island,174.707,-36.491,2663435.148,6522147.344
North Island,174.688,-36.533,2661641.041,6517521.076
North Island,174.701,-36.601,2662655.301,6509953.275
North Island,174.76601,-36.614,2668441.571,6508393.485
North Island,174.84,-36.609,2675071.397,6508809.775
North Island,174.78,-36.628,2669660.79,6506814.394
North Island,174.72,-36.628,2664295.019,6506923.656
North Island,174.72301,-36.655,2664504.056,6503922.543
North Island,174.756,-36.708,2667333.215,6497982.389
North Island,174.776,-36.782,2668950.566,6489735.323
North Island,174.802,-36.835,2671148.146,6483806.753
North Island,174.759,-36.807,2667376.62,6486992.679
North Island,174.687,-36.814,2660937.413,6486344.885
North Island,174.67,-36.778,2659498.687,6490368.978
North Island,174.67,-36.762,2659533.32,6492144.254
North Island,174.603,-36.781,2653512.193,6490150.655
North Island,174.673,-36.798,2659723.1,6488144.655
North Island,174.65199,-36.833,2657773.307,6484297.628
North Island,174.674,-36.899,2659593.334,6476936.442
North Island,174.68201,-36.879,2660350.685,6479141.57
North Island,174.741,-36.837,2665703.241,6483696.774
North Island,174.80299,-36.868,2671159.9,6480143.525
North Island,174.87601,-36.852,2677707.868,6481780.121
North Island,174.858,-36.912,2675958.993,6475157.813
North Island,174.866,-36.948,2676585.613,6471148.294
North Island,174.90401,-36.873,2680153.27,6479395.729
North Island,174.94701,-36.899,2683921.541,6476426.028
North Island,174.98199,-36.915,2686998.043,6474580.422
North Island,175.028,-36.883,2691179.61,6478036.202
North Island,175.089,-36.907,2696552.432,6475245.247
North Island,175.106,-36.95,2697952.023,6470438.366
North Island,175.17999,-36.944,2704556.864,6470942.582
North Island,175.278,-36.991,2713149.198,6465506.747
North Island,175.297,-37.077,2714590.657,6455922.21
North Island,175.30901,-37.154,2715433.854,6447352.168
North Island,175.35899,-37.216,2719687.622,6440356.476
North Island,175.48,-37.202,2730467.456,6441614.857
North Island,175.547,-37.188,2736457.493,6442998.72
North Island,175.569,-37.225,2738290.823,6438837.913
North Island,175.534,-37.134,2735475.44,6449022.04
North Island,175.521,-37.05,2734586.638,6458373.123
North Island,175.48199,-36.955,2731414.227,6469009.746
North Island,175.425,-36.886,2726550.92,6476805.136
North Island,175.46899,-36.856,2730563.965,6480024.367
North Island,175.42999,-36.837,2727145.329,6482228.576
North Island,175.436,-36.823,2727724.114,6483766.846
North Island,175.504,-36.792,2733886.088,6487036.051
North Island,175.461,-36.775,2730102.162,6489029.701
North Island,175.446,-36.729,2728904.955,6494169.778
North Island,175.44701,-36.64,2729268.81,6504040.242
North Island,175.43201,-36.608,2728025.624,6507627.151
North Island,175.341,-36.553,2720048.03,6513948.959
North Island,175.338,-36.491,2719962.159,6520834.093
North Island,175.37601,-36.481,2723396.861,6521852.353
North Island,175.414,-36.493,2726763.874,6520428.735
North Island,175.444,-36.512,2729392.732,6518247.077
North Island,175.476,-36.526,2732214.826,6516614.244
North Island,175.519,-36.55,2735988.944,6513843.18
North Island,175.52699,-36.578,2736615.388,6510716.731
North Island,175.56,-36.612,2739459.794,6506860.266
North Island,175.57899,-36.649,2741038.59,6502706.624
North Island,175.556,-36.675,2738900.31,6499882.039
North Island,175.608,-36.694,2743484.814,6497638.966
North Island,175.621,-36.733,2744518.236,6493278.541
North Island,175.638,-36.767,2745923.911,6489462.01
North Island,175.67999,-36.749,2749731.656,6491346.342
North Island,175.659,-36.736,2747901.158,6492844.755
North Island,175.726,-36.727,2753913.69,6493661.657
North Island,175.78101,-36.705,2758901.91,6495949.821
North Island,175.82899,-36.742,2763056.883,6491710.631
North Island,175.77,-36.76,2757728.483,6489879.719
North Island,175.731,-36.806,2754090.77,6484884.93
North Island,175.70599,-36.846,2751724.662,6480516.236
North Island,175.689,-36.863,2750152.823,6478676.547
North Island,175.69901,-36.902,2750913.478,6474323.406
North Island,175.705,-36.875,2751538.376,6477302.117
North Island,175.735,-36.838,2754338.279,6481324.391
North Island,175.769,-36.855,2757310.991,6479344.816
North Island,175.798,-36.836,2759962.35,6481371.399
North Island,175.82401,-36.875,2762144.137,6476972.191
North Island,175.839,-36.92,2763320.722,6471938.26
North Island,175.843,-36.963,2763524.573,6467157.32
North Island,175.85899,-37.01,2764780.368,6461898.506
North Island,175.832,-37.052,2762231.128,6457316.656
North Island,175.862,-37.022,2765005.313,6460558.868
North Island,175.88699,-37.083,2767008.49,6453721.07
North Island,175.867,-37.13,2765064.036,6448565.32
North Island,175.883,-37.153,2766402.38,6445968.289
North Island,175.883,-37.206,2766211.908,6440089.634
North Island,175.856,-37.19,2763873.403,6441941.61
North Island,175.875,-37.21,2765487.795,6439668.929
North Island,175.853,-37.239,2763432.812,6436515.128
North Island,175.88901,-37.271,2766511.031,6432862.687
North Island,175.92599,-37.338,2769544.804,6425324.189
North Island,175.94,-37.399,2770562.129,6418517.432
North Island,175.97099,-37.452,2773108.321,6412547.906
North Island,175.97,-37.472,2772946.786,6410332.526
North Island,175.94099,-37.489,2770319.893,6408532.098
North Island,175.965,-37.51,2772364.403,6406132.478
North Island,175.92999,-37.542,2769154.098,6402685.593
North Island,175.94701,-37.567,2770565.491,6399863.054
North Island,175.944,-37.592,2770208,6397098.946
North Island,175.95599,-37.612,2771192.565,6394845.549
North Island,175.96201,-37.642,2771613.009,6391500.417
